Stationcode,Locations,Lat,Lon,Capitalcity,State,Temperature,D.O,pH,Conductivity,B.O.D,Nitrate,Fecalcaliform,Totalcaliform,class,Unnamed: 15
1001,BEAS AT U/S MANALI,32.244947,77.19108,Shimla,HIMACHAL PRADESH,9.0,9.0,8.0,85,0.1,0.20,106,397.0,yes,
1002,BEAS AT D/S KULU,31.960582,77.114009,Shimla,HIMACHAL PRADESH,10.0,9.0,8.0,102,0.3,0.40,153,954.0,yes,
1003,BEAS AT D/S AUT,26.887893,75.811484,Shimla,HIMACHAL PRADESH,11.0,9.0,8.0,96,0.2,0.30,58,653.0,yes,
1004,BEAS AT U/S PANDON DAM,47.351943,19.633621,Shimla,HIMACHAL PRADESH,13.0,9.0,8.0,94,0.2,0.40,34,317.0,yes,
1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,25.992786,91.826111,Shimla,HIMACHAL PRADESH,14.0,10.0,8.0,112,0.2,0.50,213,1072.0,yes,
1550,U/S MANDI,31.708165,76.931367,Shimla,HIMACHAL PRADESH,16.0,9.0,8.0,117,0.2,0.50,100,722.0,yes,
1006,BEAS AT D/S MANDI,31.708165,76.931367,Shimla,HIMACHAL PRADESH,16.0,9.0,8.0,155,0.5,0.70,445,1855.0,yes,
2604,BEAS AT D/S JAISINGHPUR,31.899643,76.597945,Shimla,HIMACHAL PRADESH,19.0,8.0,8.0,211,0.5,0.50,7,72.0,yes,
1007,BEAS AT D/S ALAMPUR,15.884349,78.119382,Shimla,HIMACHAL PRADESH,19.0,8.0,8.0,202,0.6,0.40,9,123.0,yes,
1008,BEAS AT D/S DEHRAGOPIPUR,31.881756,76.214645,Shimla,HIMACHAL PRADESH,19.0,8.0,8.0,280,0.7,1.10,10,157.0,yes,
1009,BEAS AT D/S PONG DAM,31.976579,76.050795,Shimla,HIMACHAL PRADESH,20.0,8.0,8.0,177,0.5,0.40,7,92.0,yes,
1693,BEAS AT TALWARA H/W,31.931129,75.894059,Chandigarh, PUNJAB,15.0,8.0,8.0,285,0.0,0.80,3,50.0,yes,
1694,U/S PATHANKOT,32.264338,75.642112,Chandigarh, PUNJAB,18.0,7.0,8.0,316,1.0,1.60,95,500.0,yes,
1695,U/S PATHANKOT,32.264338,75.642112,Chandigarh, PUNJAB,15.0,7.0,7.0,334,1.0,2.00,158,600.0,yes,
1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",31.940009,75.247906,Chandigarh, PUNJAB,15.0,8.0,8.0,177,0.5,0.60,66,662.0,yes,
1294,BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN,31.940009,75.247906,Chandigarh, PUNJAB,14.0,7.0,7.0,334,1.0,1.00,370,738.0,yes,
1011,BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,31.37148,75.393681,Chandigarh, PUNJAB,14.0,7.0,7.0,317,0.8,1.80,133,567.0,yes,
1696,U/S GOINDWAL,31.36384,75.137025,Chandigarh, PUNJAB,16.0,7.0,7.0,310,1.0,2.00,180,650.0,yes,
1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL ,31.36384,75.137025,Chandigarh, PUNJAB,17.0,7.0,7.0,320,0.7,1.80,185,725.0,yes,
1697,BEAS AT HARIKE,31.17,75.2,Chandigarh, PUNJAB,16.0,7.0,8.0,304,1.0,1.50,130,550.0,yes,
2601,BEAS AT D/S MANALI,32.244947,77.19108,Shimla,HIMACHAL PRADESH,10.0,9.0,8.0,74,0.2,0.40,189,889.0,yes,
2602,BEAS AT U/S KULLU,31.960582,77.114009,Shimla,HIMACHAL PRADESH,10.0,9.0,8.0,114,0.2,0.30,130,990.0,yes,
2603,BEAS AT D/S PANDOH DAM,47.351943,19.633621,Shimla,HIMACHAL PRADESH,14.0,9.0,8.0,96,0.2,0.50,62,606.0,yes,
1867,"SATLUJ B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR",31.650958,78.475195,Shimla,HIMACHAL PRADESH,6.0,8.0,8.0,288,0.3,0.10,63,493.0,yes,
2611,SATLUJ AT KHAB,31.79903,78.64342,Shimla,HIMACHAL PRADESH,6.0,8.0,8.0,268,0.4,0.10,76,421.0,yes,
1389,SATLUJ AT NEPTHAZAKHAI,31.79903,78.64342,Shimla,HIMACHAL PRADESH,6.0,9.0,8.0,208,0.0,0.00,85,1020.0,yes,
1086,SATLUJ AT U/S RAMPUR,31.450777,77.631624,Shimla,HIMACHAL PRADESH,7.0,8.0,8.0,209,0.6,0.30,126,846.0,yes,
1087,SATLUJ AT D/S RAMPUR,31.450777,77.631624,Shimla,HIMACHAL PRADESH,7.0,8.0,8.0,219,0.7,0.20,204,857.0,yes,
1013,SATLUJ AT U/S TATAPANI,31.24879,77.089542,Shimla,HIMACHAL PRADESH,8.0,8.0,8.0,355,0.4,0.30,89,950.0,yes,
1014,SATLUJ AT U/S SLAPPER,31.412255,76.852727,Shimla,HIMACHAL PRADESH,14.0,10.0,8.0,225,0.2,0.60,159,1586.0,yes,
1015,SATLUJ AT D/S SLAPPER,31.412255,76.852727,Shimla,HIMACHAL PRADESH,14.0,10.0,8.0,214,0.5,0.70,207,1606.0,yes,
1016,SATLUJ AT D/S BHAKHRA,31.384426,76.477998,Shimla,HIMACHAL PRADESH,17.0,9.0,8.0,202,0.5,0.30,14,59.0,yes,
1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",31.381038,76.381092,Chandigarh, PUNJAB,20.0,8.0,8.0,272,2.7,1.90,305,703.0,yes,
1018,"SATLUJ AT 100M D/S ,NANGAL",31.381038,76.381092,Chandigarh, PUNJAB,20.0,8.0,8.0,272,2.7,1.90,305,703.0,yes,
1293,SATLUJ AT 1 KM. D/S OF ZENITH,30.918402,75.834376,Chandigarh, PUNJAB,22.0,7.0,8.0,442,11.0,5.30,1275,4150.0,yes,
1814,SATLUJ AT D/S KIRATPUR SAHIB,31.184964,76.569052,Chandigarh, PUNJAB,21.0,7.0,7.0,279,2.0,2.00,178,503.0,yes,
1019,SATLUJ AT U/S HEAD WORKS ROPAR,30.965917,76.523023,Chandigarh, PUNJAB,21.0,7.0,7.0,336,3.3,3.30,637,9000.0,yes,
1380,SATLUJ AT D/S NFL,31.965917,76.523023,Chandigarh, PUNJAB,21.0,7.0,8.0,288,2.4,2.00,433,803.0,yes,
1690,U/S BUDHA NALLAH (UPPER),25.653498,93.345482,Chandigarh, PUNJAB,22.0,7.0,7.0,284,2.0,4.00,12975,23625.0,yes,
1020,"SATLUJ AT 100M D/S BUDHA NALA CONFL.,LUDHIANA",30.900965,75.857276,Chandigarh, PUNJAB,22.0,4.0,7.0,388,22.0,12.00,29000,64000.0,yes,
1021,"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",31.326015,75.576183,Chandigarh, PUNJAB,23.0,6.0,7.0,326,2.7,6.00,2500,8375.0,yes,
1381,SATLUJ AT D/S EAST BASIN,31.326015,75.576183,Chandigarh, PUNJAB,15.0,4.0,7.0,556,5.0,5.00,22000,40333.0,yes,
1691,U/S HUSSANIWALA - H/W FEROZEPUR,30.968965,74.574748,Chandigarh, PUNJAB,23.0,7.0,7.0,279,2.5,3.00,95,500.0,yes,
1692,D/S HUSSANIWALA-H/W FEROZEPUR,30.968965,74.574748,Chandigarh, PUNJAB,23.0,7.0,7.0,283,2.0,3.00,105,600.0,yes,
1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",31.633979,74.872264,Chandigarh, PUNJAB,18.0,5.0,7.0,494,3.0,2.70,403,950.0,yes,
1088,RAVI AT U/S MADHOPUR,32.365289,75.597287,Shimla,HIMACHAL PRADESH,18.0,8.0,8.0,155,0.5,0.50,9,80.0,yes,
1089,RAVI AT U/S CHAMBA,32.553363,76.125808,Shimla,HIMACHAL PRADESH,11.0,9.0,8.0,141,0.5,0.40,6,90.0,yes,
2614,RAVI AT AT CHAMERA RESERVOIR,32.597574,75.985873,Shimla,HIMACHAL PRADESH,15.0,9.0,8.0,158,0.5,0.40,7,106.0,yes,
2615,RAVI AT AT D/S CHAMERA III HEP,32.597574,75.985873,Shimla,HIMACHAL PRADESH,10.0,9.0,8.0,137,0.4,0.30,4,47.0,yes,
2613,RAVI AT D/S OF CHAMBA TOWN,32.553363,76.125808,Shimla,HIMACHAL PRADESH,11.0,10.0,8.0,190,0.5,0.60,9,169.0,yes,
1097,"RAVI AT U/S OF MADHOPUR HEADWORKS,GURDASPUR",31.940009,75.247906,Chandigarh, PUNJAB,14.0,8.0,8.0,167,0.7,0.70,10,50.0,yes,
1290,PARVATI BEFORE CONF. TO RIVER BEAS,31.940009,75.247906,Shimla,HIMACHAL PRADESH,10.0,9.0,8.0,84,0.2,0.30,125,909.0,yes,
2605,PARVATI AT U/S MANIKARAN,32.026795,77.351106,Shimla,HIMACHAL PRADESH,7.0,9.0,8.0,65,0.1,0.30,27,217.0,yes,
2606,PARVATI AT D/S MANIKARAN,32.026795,77.351106,Shimla,HIMACHAL PRADESH,8.0,9.0,8.0,62,0.2,0.30,43,353.0,yes,
1090,LARGI AT D/S,32.026795,77.351106,Shimla,HIMACHAL PRADESH,11.0,9.0,8.0,101,0.2,0.40,53,553.0,yes,
1551,"SIRSA , U/S SITOMAJRI NALLAHGARH",31.044559,76.70479,Shimla,HIMACHAL PRADESH,20.0,8.0,8.0,364,2.1,1.30,26,69.0,yes,
1552,"SIRSA , D/S NALAGARH BRIDGE",31.044559,76.70479,Shimla,HIMACHAL PRADESH,24.0,9.0,8.0,622,2.0,0.80,23,75.0,yes,
1868,SIRSA AT D/S NALAGARH DISTT. SOLAN,30.904486,77.096736,Shimla,HIMACHAL PRADESH,24.0,8.0,8.0,583,1.3,1.20,30,86.0,yes,
1869,SWAN AT D/S NANGAL DISTT. UNA,31.886598,76.018882,Shimla,HIMACHAL PRADESH,24.0,8.0,8.0,443,1.2,1.00,14,116.0,yes,
2616,SIUEL AT D/S SURGANI,31.886598,76.018882,Shimla,HIMACHAL PRADESH,13.0,9.0,8.0,155,0.4,0.50,6,58.0,yes,
1307,CHUNT KOL * (MAULANA AZAD BRIDGE),34.073949,74.818182,Jammu,JAMMU & KASHMIR,9.0,6.0,8.0,209,5.0,1.00,,,yes,
2607,SUKETI KHAD  AT D/S MANDI,31.708165,76.931367,Shimla,HIMACHAL PRADESH,19.0,8.0,8.0,233,1.1,0.90,773,2327.0,yes,
2608,BINWA AT D/S PAPROLA/BAIJNATH,32.052833,76.634051,Shimla,HIMACHAL PRADESH,19.0,8.0,8.0,99,0.5,0.50,11,100.0,yes,
2609,NEUGAL AT D/S THURAL,31.924439,76.458478,Shimla,HIMACHAL PRADESH,21.0,8.0,8.0,129,0.4,0.60,6,113.0,yes,
2610,SPITI AT KHAB,31.79903,78.64342,Shimla,HIMACHAL PRADESH,5.0,8.0,8.0,197,0.2,0.10,39,252.0,yes,
2612,BASPA AT U/S RESERVOIR BASPA PROJECT,31.487079,78.180887,Shimla,HIMACHAL PRADESH,5.0,8.0,8.0,136,0.3,0.10,25,174.0,yes,
1306,"GAWKADAL, SRG *(SHERGHARI, SRG)",34.074962,74.80899,Jammu,JAMMU & KASHMIR,9.0,8.0,8.0,184,4.0,1.00,,,yes,
